niche,count
department_of_motor_vehicles,5
disc_golf_course,5
drugstore,5
eye_care_clinic,5
flea_market,5
golf_club,5
gutter_service,5
hat_shop,5
health_insurance_office,5
himalayan_nepalese_restaurant,5
hvac_supplier,5
immigration_law,5
insulation_installation,5
investing,5
junkyard,5
korean_restaurant,5
law_enforcement,5
mobile_home_dealer,5
money_transfer_services,5
movie_television_studio,5
non_governmental_association,5
packing_supply,5
pan_asian_restaurant,5
passport_and_visa_services,5
print_media,5
printing_equipment_and_supply,5
public_utility_company,5
recreational_vehicle_dealer,5
restaurant_equipment_and_supply,5
roadside_assistance,5
shoe_repair,5
sports_medicine,5
sports_wear,5
surf_shop,5
texmex_restaurant,5
well_drilling,5
wig_store,5
academic_bookstore,4
agricultural_cooperatives,4
automation_services,4
bathroom_remodeling,4
beer_garden,4
botanical_garden,4
brazilian_restaurant,4
business_office_supplies_and_stationery,4
candle_store,4
collection_agencies,4
craft_shop,4
cupcake_shop,4
cycling_classes,4
distribution_services,4
dj_service,4
dog_walkers,4
embroidery_and_crochet,4
emergency_medicine,4
escape_rooms,4
fashion,4
fishing_charter,4
flight_school,4
food_banks,4
football_stadium,4
guitar_store,4
hair_extensions,4
hair_supply_stores,4
health_consultant,4
home_security,4
home_window_tinting,4
hot_dog_restaurant,4
hotel_bar,4
internet_service_provider,4
it_support_and_service,4
laboratory,4
limo_services,4
marina,4
marketing_consultant,4
media_agency,4
midwife,4
miniature_golf_course,4
mobile_phone_accessories,4
mosque,4
movers,4
oil_and_gas,4
pain_management,4
patio_covers,4
periodontist,4
pet_breeder,4
pet_hospice,4
pets,4
photography_store_and_services,4
plastic_manufacturer,4
propane_supplier,4
public_market,4
public_relations,4
pulmonologist,4
radio_and_television_commercials,4
ranch,4
real_estate_investment,4
record_label,4
recreation_vehicle_repair,4
rehabilitation_center,4
rheumatologist,4
rv_storage_facility,4
salad_bar,4
security_services,4
skate_shop,4
sky_diving,4
social_and_human_services,4
swimwear_store,4
uniform_store,4
urban_farm,4
veterans_organization,4
videographer,4
water_purification_services,4
windshield_installation_and_repair,4
addiction_rehabilitation_center,3
amateur_sports_league,3
animal_hospital,3
auto_security,3
auto_upholstery,3
b2b_cleaning_and_waste_management,3
b2b_jewelers,3
b2b_textiles,3
beverage_supplier,3
biotechnology_company,3
bistro,3
boat_rental_and_training,3
boat_service_and_repair,3
boat_storage_facility,3
bookkeeper,3
brewing_supply_store,3
brokers,3
cancer_treatment_center,3
car_buyer,3
cards_and_stationery_store,3
commercial_industrial,3
commissioned_artist,3
computer_wholesaler,3
demolition_service,3
disability_law,3
drywall_services,3
electrical_wholesaler,3
emergency_room,3
endodontist,3
eyebrow_service,3
eyelash_service,3
fireplace_service,3
fish_and_chips_restaurant,3
framing_store,3
general_litigation,3
hawaiian_restaurant,3
home_staging,3
home_theater_systems_stores,3
ice_cream_and_frozen_yoghurt,3
industrial_company,3
iron_and_steel_industry,3
jewelry_and_watches_manufacturer,3
karaoke,3
kickboxing_club,3
language_school,3
lawn_mower_store,3
leather_goods,3
mattress_store,3
mobility_equipment_services,3
motorsports_store,3
mountain_bike_trails,3
occupational_medicine,3
occupational_therapy,3
orthotics,3
outlet_store,3
packing_services,3
permanent_makeup,3
photographer,3
piano_services,3
plaza,3
pool_and_hot_tub_services,3
religious_school,3
safety_equipment,3
shredding_services,3
siding,3
soccer_field,3
social_club,3
speakeasy,3
speech_therapist,3
sugaring,3
synagogue,3
taxidermist,3
teeth_whitening,3
temp_agency,3
trophy_shop,3
video_film_production,3
wellness_program,3
window_washing,3
aircraft_manufacturer,2
alcohol_and_drug_treatment_center,2
appliance_manufacturer,2
archery_range,2
art_museum,2
art_restoration,2
art_restoration_service,2
artificial_turf,2
auto_company,2
auto_electrical_repair,2
automobile_registration_service,2
b2b_truck_equipment_parts_and_accessories,2
balloon_services,2
bartender,2
basketball_court,2
bedding_and_bath_stores,2
blood_and_plasma_donation_center,2
boat_charter,2
boat_dealer,2
book_magazine_distribution,2
bottled_water_company,2
bounce_house_rental,2
bowling_alley,2
bubble_tea,2
buffet_restaurant,2
bus_service,2
business_records_storage_and_management,2
cabin,2
car_broker,2
carpet_installation,2
choir,2
comedy_club,2
convents_and_monasteries,2
corporate_entertainment_services,2
cosmetology_school,2
cremation_services,2
currency_exchange,2
custom_t_shirt_store,2
dance_wear,2
data_recovery,2
designer_clothing,2
dim_sum_restaurant,2
dumpster_rentals,2
educational_research_institute,2
energy_company,2
environmental_testing,2
evangelical_church,2
exporters,2
festival,2
fishmonger,2
food_and_beverage_exporter,2
food_court,2
food_stand,2
foster_care_services,2
gelato,2
geological_services,2
government_services,2
granite_supplier,2
