niche,count
rehabilitation_center,1
rental_services,1
rock_climbing_spot,1
service_apartments,1
shoe_repair,1
sightseeing_tour_agency,1
sky_diving,1
social_welfare_center,1
souvenir_shop,1
sports_bar,1
sports_medicine,1
sports_wear,1
steel_fabricators,1
sunglasses_store,1
surfing,1
swimwear_store,1
synagogue,1
t_shirt_store,1
taxi_service,1
texmex_restaurant,1
textile_museum,1
theatrical_productions,1
threading_service,1
threads_and_yarns_wholesaler,1
tile_store,1
topic_publisher,1
trailer_dealer,1
trains,1
transmission_repair,1
trophy_shop,1
truck_dealer,1
uniform_store,1
urban_farm,1
urgent_care_clinic,1
used_bookstore,1
vegetarian_restaurant,1
web_designer,1
weight_loss_center,1
welders,1
whiskey_bar,1
wills_trusts_and_probate,1
window_washing,1
windshield_installation_and_repair,1
wood_and_pulp,1
